"";"data_coleta_dados";"site_coleta";"comite";"n_ugrhi";"nome_reuniao";"data_reuniao";"data_postagem";"numero_link";"url_link"
"1554";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"Ata da 35ª Reunião Extraordinária do CBH-MP";2019-07-24;2019-09-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-MP/17528/ata_35_ext_24_jul_mp_ourinhos.pdf"
"1555";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"Ata da 34ª Reunião Extraordinária do CBH-MP";2019-02-28;2019-07-26;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-MP/17394/ata_34_ext_28_fev_mp_marilia.pdf"
"1556";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"Ata da 40ª Reunião Ordinária do CBH-MP";2018-11-30;NA;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-MP/17393/ata_40_ord_30_nov_mp_ourinhos.pdf"
"1557";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"ATA DA 39ª REUNIÃO ORDINÁRIA DO CBH-MP";2018-08-01;NA;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-MP/13958/ata_39_ord_1_ago_mp_paraguacupta.pdf"
"1558";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"ATA DA 38ª REUNIÃO ORDINÁRIA DO CBH-MP";2017-12-05;2018-08-09;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-MP/13865/ata_38_ord_5_dez_mp_maracai.pdf"
"1559";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"ATA DA 35ª REUNIÃO EXTRAORDINÁRIA DO CBH-MP";2017-07-19;NA;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-MP/13705/ata_35_ext_19_julho_mp_sao-pedro-turvo.pdf"
"1560";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"ATA DA 37ª REUNIÃO ORDINÁRIA DO CBH-MP";2017-03-28;NA;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-MP/13706/ata_37_ord_28_marco_mp_marilia.pdf"
"1561";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"ATA DA 36ª REUNIÃO ORDINÁRIA DO CBH-MP";2016-12-15;NA;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-MP/13704/ata_36_ord-_15_dezembro_mp_marilia.pdf"
"1562";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"ATA DA 35ª REUNIÃO ORDINÁRIA DO CBH-MP";2016-07-22;NA;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-MP/11892/ata_35_ord-_22_junho_mp_chavantes.pdf"
"1563";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"ATA DA 34ª REUNIÃO EXTRAORDINÁRIA DO CBH-MP";2016-02-02;NA;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-MP/11891/atamp_34_ext_2fev16.pdf"
"1564";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"ATA DA 34ª REUNIÃO ORDINÁRIA DO CBH-MP";2015-11-30;NA;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-MP/11890/ata_30_novembro_mp_canitar.pdf"
"1565";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"ATA DA 33ª REUNIÃO ORDINÁRIA DO CBH-MP";2015-06-11;NA;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-MP/10473/ata_11_junho_mp_pedrinhas-paulista.pdf"
"1566";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"32ª REUNIÃO ORDINÁRIA DO CBH-MP";2015-03-26;NA;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/9068/ata_26_marco_mp_maracai.pdf"
"1567";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"31ª Reunião Ordinária do CBH-MP";2014-12-15;2015-01-01;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/8713/ata_15dezembro_mp_alvinlandia.pdf"
"1568";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"30ª REUNIÃO ORDINÁRIA DO CBH-MP";2014-05-21;NA;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/9067/ata_21maio_mp_ocaucu.pdf"
"1569";2020-10-21;"http://www.sigrh.sp.gov.br/cbhmp/atas";"Médio Paranapanema";17;"29ª REUNIÃO ORDINÁRIA DO CBH-MP";2013-12-05;NA;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/9065/ata_05dezembro_mp_palmital.pdf"
